Lema	POS	rARF_Janes	rARF_Gos	rARF_Kres	rARF_Šolar	rARF_Povprečno	
obljubljati	g	0,00143	0,00097	0,00144	0,00123	0,00127	
škoditi	g	0,00214	0,00097	0,00098	0,00098	0,00127	
stopnica	s	0,00083	0,00087	0,00214	0,00123	0,00127	
s	s	0,00233	0,00145	0,00092	0,00037	0,00127	
ritem	s	0,00099	0,00077	0,00232	0,00098	0,00127	
španski	p	0,00133	0,00068	0,00225	0,0008	0,00127	
znižati	g	0,0017	0,00087	0,00187	0,00062	0,00127	
naključje	s	0,00169	0,00039	0,00229	0,00068	0,00126	
kričati	g	0,00095	0,00048	0,00104	0,00258	0,00126	
domače	r	0,00177	0,00165	0,0012	0,00043	0,00126	
direktno	r	0,00188	0,00213	0,00048	0,00055	0,00126	
naložiti	g	0,00178	0,00039	0,00189	0,00098	0,00126	
načeloma	r	0,00208	0,00194	0,00077	0,00025	0,00126	
ata	s	0,0018	0,00097	0,00061	0,00166	0,00126	
nebesa	s	0,00101	0,00039	0,00099	0,00265	0,00126	
zapleten	p	0,00061	0,00029	0,00222	0,00191	0,00126	
skorajda	l	0,0008	0,00155	0,00206	0,00062	0,00126	
zgrajen	p	0,00057	0,00039	0,00179	0,00228	0,00126	
raziskovati	g	0,00095	0,00068	0,0018	0,0016	0,00126	
znanec	s	0,00129	0,00058	0,00174	0,00142	0,00126	
popust	s	0,00217	0,00097	0,00127	0,00062	0,00126	
preganjati	g	0,00156	0,00048	0,00138	0,0016	0,00126	
zaiti	g	0,00096	0,00087	0,00134	0,00185	0,00126	
rekoč	r	0,00051	0,00126	0,00214	0,00111	0,00126	
slikati	g	0,00231	0,00097	0,00099	0,00074	0,00125	
revež	s	0,00181	0,00097	0,00074	0,00148	0,00125	
nega	s	0,00109	0,00077	0,00208	0,00105	0,00125	
grozno	r	0,00065	0,00271	0,00058	0,00105	0,00125	
travnik	s	0,0007	0,00077	0,00155	0,00197	0,00125	
izvor	s	0,00146	0,00087	0,00198	0,00068	0,00125	
zdravstvo	s	0,00244	0,00068	0,00131	0,00055	0,00125	
povedan	p	0,00223	0,00068	0,00102	0,00105	0,00125	
obvestilo	s	0,00141	0,00087	0,00196	0,00074	0,00125	
sporazum	s	0,0012	0,00048	0,00281	0,00049	0,00125	
baba	s	0,00216	0,00145	0,00057	0,0008	0,00125	
izjaviti	g	0,0016	0,00068	0,0019	0,0008	0,00125	
pripadnik	s	0,00097	0,00029	0,00174	0,00197	0,00124	
nizko	r	0,0015	0,00126	0,00159	0,00062	0,00124	
brigati	g	0,00195	0,00155	0,00067	0,0008	0,00124	
pokvariti	g	0,00167	0,00106	0,00101	0,00123	0,00124	
deseti	k	0,0005	0,00242	0,00119	0,00086	0,00124	
sprostiti	g	0,00102	0,00068	0,00191	0,00135	0,00124	
obrok	s	0,00159	0,00058	0,00205	0,00074	0,00124	
seks	s	0,0022	0,00068	0,00182	0,00025	0,00124	
interpretacija	s	0,00094	0,00019	0,00115	0,00265	0,00123	
naziv	s	0,00143	0,00058	0,002	0,00092	0,00123	
peš	r	0,00108	0,00155	0,00094	0,00135	0,00123	
trener	s	0,00176	0,00048	0,00231	0,00037	0,00123	
mora	s	0,00116	0,00145	0,00102	0,00129	0,00123	
čedalje	r	0,00087	0,00068	0,00165	0,00172	0,00123	
opozorilo	s	0,0022	0,00039	0,00177	0,00055	0,00123	
škodljiv	p	0,00152	0,00029	0,00211	0,00098	0,00123	
proga	s	0,00146	0,00087	0,00214	0,00043	0,00123	
obup	s	0,00099	0,00039	0,001	0,00252	0,00123	
strast	s	0,00073	0,00029	0,00166	0,00222	0,00123	
zastava	s	0,00278	0,00019	0,00131	0,00062	0,00123	
sprejem	s	0,00129	0,00039	0,0026	0,00062	0,00123	
raven	p	0,00088	0,00106	0,00159	0,00135	0,00122	
zveneti	g	0,00161	0,00077	0,00139	0,00111	0,00122	
let	s	0,00082	0,00087	0,00245	0,00074	0,00122	
preiti	g	0,00089	0,00087	0,00195	0,00117	0,00122	
strategija	s	0,00143	0,00068	0,00239	0,00037	0,00122	
različica	s	0,00116	0,00039	0,00301	0,00031	0,00122	
pop	s	0,00245	0,00106	0,00118	0,00018	0,00122	
pomiriti	g	0,00082	0,00039	0,00138	0,00228	0,00122	
vredno	r	0,00098	0,00039	0,00172	0,00178	0,00122	
tepsti	g	0,00108	0,00048	0,00047	0,00283	0,00122	
lokal	s	0,00135	0,00068	0,00197	0,00086	0,00122	
točen	p	0,0019	0,00136	0,00092	0,00068	0,00122	
prevod	s	0,00206	0,00077	0,00184	0,00018	0,00121	
kapa	s	0,00264	0,00087	0,00097	0,00037	0,00121	
prirediti	g	0,00045	0,00039	0,0013	0,00271	0,00121	
novo	r	0,00068	0,00252	0,00133	0,00031	0,00121	
up	s	0,00149	0,00077	0,00166	0,00092	0,00121	
glasno	r	0,001	0,00116	0,00182	0,00086	0,00121	
kaditi	g	0,00153	0,00097	0,00129	0,00105	0,00121	
zlahka	r	0,00104	0,00039	0,00205	0,00135	0,00121	
kaznovan	p	0,0007	0,00039	0,0006	0,00314	0,00121	
enoten	p	0,0012	0,00077	0,00211	0,00074	0,00121	
krvav	p	0,00127	0,00039	0,00125	0,00191	0,00121	
obnova	s	0,00109	0,00077	0,00222	0,00074	0,00121	
mariborski	p	0,00142	0,00068	0,0024	0,00031	0,00120	
opustiti	g	0,00073	0,00058	0,00147	0,00203	0,00120	
znanstvenik	s	0,00119	0,00058	0,00205	0,00098	0,00120	
poškodovan	p	0,00122	0,00087	0,00191	0,0008	0,00120	
sklop	s	0,00083	0,00126	0,00216	0,00055	0,00120	
čemu	r	0,00193	0,00068	0,00096	0,00123	0,00120	
arhitekt	s	0,00043	0,00068	0,00117	0,00252	0,00120	
kvaliteten	p	0,00193	0,00116	0,00103	0,00068	0,00120	
spodbuditi	g	0,00044	0,00058	0,00193	0,00185	0,00120	
podreti	g	0,00132	0,00077	0,00111	0,0016	0,00120	
preprečevati	g	0,00082	0,00048	0,00196	0,00154	0,00120	
zateči	g	0,0003	0,00048	0,00094	0,00308	0,00120	
mišica	s	0,00137	0,00087	0,00219	0,00037	0,00120	
truplo	s	0,00096	0,00019	0,00161	0,00203	0,00120	
ukrepati	g	0,00149	0,00029	0,00141	0,0016	0,00120	
duhoven	p	0,00093	0,00058	0,00211	0,00117	0,00120	
navijati	g	0,00328	0,00058	0,00062	0,00031	0,00120	
nota	s	0,00229	0,00087	0,00131	0,00031	0,00120	
poslušalec	s	0,0005	0,00232	0,00128	0,00068	0,00120	
medicinski	p	0,00127	0,00077	0,00225	0,00049	0,00120	
jug	s	0,00141	0,00087	0,00195	0,00055	0,00120	
gradivo	s	0,00087	0,00058	0,00301	0,00031	0,00119	
strogo	r	0,00078	0,00068	0,00153	0,00178	0,00119	
norma	s	0,00086	0,00029	0,00104	0,00258	0,00119	
segati	g	0,0006	0,00068	0,00251	0,00098	0,00119	
pohvala	s	0,00217	0,00048	0,00101	0,00111	0,00119	
prestaviti	g	0,00188	0,00106	0,00115	0,00068	0,00119	
pritožba	s	0,00124	0,00019	0,00192	0,00142	0,00119	
spravljati	g	0,00114	0,00126	0,00113	0,00123	0,00119	
vzpostaviti	g	0,00092	0,00087	0,00223	0,00074	0,00119	
košček	s	0,00095	0,00068	0,00221	0,00092	0,00119	
vrečka	s	0,00132	0,00136	0,00159	0,00049	0,00119	
morilec	s	0,00126	0,00019	0,00109	0,00222	0,00119	
kršiti	g	0,00156	0,00029	0,001	0,00191	0,00119	
poezija	s	0,00104	0,00077	0,00116	0,00178	0,00119	
rešen	p	0,0016	0,00106	0,00092	0,00117	0,00119	
zamisel	s	0,00062	0,00039	0,00263	0,00111	0,00119	
menjava	s	0,00262	0,00048	0,00133	0,00031	0,00119	
ukiniti	g	0,00259	0,00039	0,00065	0,00111	0,00119	
drugod	r	0,00084	0,00126	0,00159	0,00105	0,00119	
novost	s	0,00119	0,00039	0,00279	0,00037	0,00119	
objavljati	g	0,00239	0,00048	0,00161	0,00025	0,00118	
utegniti	g	0,00092	0,00068	0,00287	0,00025	0,00118	
popravljati	g	0,00197	0,00155	0,00089	0,00031	0,00118	
sladkor	s	0,00118	0,00068	0,00254	0,00031	0,00118	
dolgčas	s	0,00161	0,00097	0,00084	0,00129	0,00118	
tabla	s	0,00109	0,00194	0,00094	0,00074	0,00118	
široko	r	0,00093	0,00087	0,00223	0,00068	0,00118	
odločilen	p	0,00068	0,00029	0,00165	0,00209	0,00118	
zdavnaj	r	0,00189	0,00087	0,00127	0,00068	0,00118	
opredeliti	g	0,00071	0,00068	0,00172	0,0016	0,00118	
seči	g	0,00115	0,00048	0,00221	0,00086	0,00118	
trebuh	s	0,00122	0,00048	0,00202	0,00098	0,00118	
ustrašiti	g	0,00089	0,00106	0,00072	0,00203	0,00118	
zaplesti	g	0,0005	0,00068	0,00143	0,00209	0,00118	
škodovati	g	0,00095	0,00039	0,00102	0,00234	0,00118	
obletnica	s	0,00178	0,00077	0,00183	0,00031	0,00117	
poseg	s	0,00136	0,00068	0,00247	0,00018	0,00117	
večeren	p	0,0013	0,00039	0,00202	0,00098	0,00117	
upraven	p	0,00086	0,00029	0,00335	0,00018	0,00117	
ogledalo	s	0,00178	0,00039	0,00165	0,00086	0,00117	
moliti	g	0,00129	0,00048	0,00106	0,00185	0,00117	
vesti	g	0,0008	0,00048	0,00088	0,00252	0,00117	
potek	s	0,00087	0,00068	0,00227	0,00086	0,00117	
blagajna	s	0,00208	0,00058	0,00134	0,00068	0,00117	
car	s	0,00326	0,00058	0,00047	0,00037	0,00117	
preostati	g	0,001	0,00058	0,00192	0,00117	0,00117	
zajeti	g	0,00072	0,00048	0,00242	0,00105	0,00117	
meti	g	0,00102	0,00058	0,00103	0,00203	0,00117	
nedvomno	r	0,00087	0,00058	0,00272	0,00049	0,00117	
propad	s	0,00101	0,00039	0,00092	0,00234	0,00117	
prepozen	p	0,00074	0,00029	0,00061	0,00302	0,00117	
šolstvo	s	0,00134	0,00068	0,00196	0,00068	0,00117	
poslovanje	s	0,00095	0,00068	0,00285	0,00018	0,00117	
zaplet	s	0,0007	0,00039	0,00165	0,00191	0,00116	
zaskrbljen	p	0,00067	0,00029	0,00111	0,00258	0,00116	
druženje	s	0,00106	0,00068	0,00143	0,00148	0,00116	
cerkven	p	0,00106	0,00019	0,00155	0,00185	0,00116	
ospredje	s	0,00059	0,00039	0,00139	0,00228	0,00116	
izdajati	g	0,00085	0,00077	0,00173	0,00129	0,00116	
odločno	r	0,00091	0,00029	0,00196	0,00148	0,00116	
omara	s	0,00109	0,00126	0,00161	0,00068	0,00116	
uvrščati	g	0,0004	0,00019	0,00139	0,00265	0,00116	
bazen	s	0,00134	0,00087	0,00162	0,0008	0,00116	
ponekod	r	0,00069	0,00116	0,00136	0,00142	0,00116	
njiva	s	0,00075	0,00126	0,0009	0,00172	0,00116	
nesramen	p	0,00087	0,00039	0,00041	0,00295	0,00116	
ugasniti	g	0,00164	0,00126	0,00117	0,00055	0,00116	
povabilo	s	0,00082	0,00165	0,00135	0,0008	0,00116	
tveganje	s	0,00101	0,00048	0,00251	0,00062	0,00116	
knjižen	p	0,00068	0,00068	0,00166	0,0016	0,00116	
aparat	s	0,00135	0,00068	0,00196	0,00062	0,00115	
kakovosten	p	0,00075	0,00029	0,00283	0,00074	0,00115	
oboževati	g	0,00133	0,00039	0,00098	0,00191	0,00115	
molčati	g	0,00102	0,00019	0,00137	0,00203	0,00115	
napredovati	g	0,00172	0,00039	0,00139	0,00111	0,00115	
nenehno	r	0,0006	0,00029	0,00273	0,00098	0,00115	
zdravo	r	0,00048	0,00271	0,00104	0,00037	0,00115	
kraja	s	0,00118	0,00029	0,00104	0,00209	0,00115	
veda	s	0,00073	0,00087	0,00165	0,00135	0,00115	
breme	s	0,00098	0,00039	0,00181	0,00142	0,00115	
posebnost	s	0,00061	0,00048	0,00227	0,00123	0,00115	
plaža	s	0,00149	0,00048	0,00139	0,00123	0,00115	
povprašati	g	0,00123	0,00039	0,00125	0,00172	0,00115	
splošno	r	0,00072	0,00136	0,00202	0,00049	0,00115	
letališče	s	0,00152	0,00087	0,00189	0,00031	0,00115	
zahvala	s	0,00091	0,00039	0,00101	0,00228	0,00115	
rimski	p	0,00078	0,00058	0,00187	0,00135	0,00115	
proizvajalec	s	0,00126	0,00058	0,00219	0,00055	0,00115	
pričakovan	p	0,00159	0,00029	0,00165	0,00105	0,00115	
predsednica	s	0,0012	0,00058	0,00132	0,00148	0,00115	
spremenjen	p	0,00102	0,00058	0,00223	0,00074	0,00114	
vključno	r	0,00143	0,00039	0,00244	0,00031	0,00114	
pognati	g	0,00079	0,00058	0,00196	0,00123	0,00114	
nova	s	0,00129	0,00155	0,00116	0,00055	0,00114	
reagirati	g	0,00115	0,00087	0,00087	0,00166	0,00114	
solata	s	0,0016	0,00087	0,00183	0,00025	0,00114	
odigrati	g	0,00088	0,00077	0,00179	0,00111	0,00114	
neprimeren	p	0,00138	0,00058	0,00124	0,00135	0,00114	
kratko	r	0,00038	0,00184	0,00208	0,00025	0,00114	
koš	s	0,00189	0,00058	0,00146	0,00062	0,00114	
kriterij	s	0,00148	0,00097	0,00178	0,00031	0,00114	
priznan	p	0,00088	0,00058	0,00239	0,00068	0,00113	
anketa	s	0,00212	0,00116	0,00107	0,00018	0,00113	
pesek	s	0,00151	0,00087	0,00165	0,00049	0,00113	
pripadnost	s	0,00059	0,00029	0,00093	0,00271	0,00113	
zmešati	g	0,00108	0,00116	0,00142	0,00086	0,00113	
žaliti	g	0,0014	0,00029	0,00049	0,00234	0,00113	
napetost	s	0,0008	0,00058	0,00233	0,0008	0,00113	
pristopiti	g	0,00048	0,00068	0,00101	0,00234	0,00113	
mobilen	p	0,00157	0,00068	0,0017	0,00055	0,00113	
uničevati	g	0,00158	0,00058	0,00092	0,00142	0,00113	
napačno	r	0,00111	0,00058	0,00103	0,00178	0,00113	
nemščina	s	0,00067	0,00126	0,00066	0,00191	0,00113	
smet	s	0,00155	0,00077	0,0012	0,00098	0,00113	
pohod	s	0,00138	0,00048	0,00159	0,00105	0,00113	
zavrteti	g	0,00093	0,00184	0,00099	0,00074	0,00113	
poudarek	s	0,00094	0,00029	0,00228	0,00098	0,00112	
prebiti	g	0,00103	0,00068	0,00192	0,00086	0,00112	
zlato	s	0,00147	0,00058	0,00115	0,00129	0,00112	
lakota	s	0,00108	0,00039	0,00116	0,00185	0,00112	
beseden	p	0,00085	0,00097	0,001	0,00166	0,00112	
organizator	s	0,0011	0,00058	0,00243	0,00037	0,00112	
opravljanje	s	0,00058	0,00048	0,00261	0,0008	0,00112	
kakorkoli	r	0,00239	0,00039	0,00132	0,00037	0,00112	
puščati	g	0,00139	0,00097	0,00149	0,00062	0,00112	
punčka	s	0,00077	0,00087	0,00085	0,00197	0,00112	
popeljati	g	0,00073	0,00048	0,00171	0,00154	0,00112	
opazovanje	s	0,00049	0,00048	0,00139	0,00209	0,00111	
znotraj	r	0,00087	0,00136	0,0013	0,00092	0,00111	
zasluga	s	0,00134	0,00058	0,00204	0,00049	0,00111	
obžalovati	g	0,00061	0,00019	0,00075	0,00289	0,00111	
papež	s	0,00235	0,00029	0,001	0,0008	0,00111	
napet	p	0,00082	0,00048	0,00154	0,0016	0,00111	
razpravljati	g	0,00131	0,00077	0,00187	0,00049	0,00111	
ubogati	g	0,00052	0,00029	0,00068	0,00295	0,00111	
preizkusiti	g	0,00117	0,00077	0,00188	0,00062	0,00111	
zlomiti	g	0,00083	0,00068	0,00096	0,00197	0,00111	
preverjati	g	0,00166	0,00106	0,00146	0,00025	0,00111	
bolnica	s	0,00117	0,00174	0,00066	0,00086	0,00111	
pobiti	g	0,00124	0,00029	0,00067	0,00222	0,00111	
odpasti	g	0,0018	0,00087	0,00113	0,00062	0,00111	
dostopen	p	0,00134	0,00068	0,00215	0,00025	0,00111	
zadevati	g	0,00082	0,00116	0,00219	0,00025	0,00111	
kraljica	s	0,00097	0,00019	0,00172	0,00154	0,00111	
hoja	s	0,001	0,00048	0,00189	0,00105	0,00111	
izdelovati	g	0,0007	0,00087	0,00198	0,00086	0,00110	
čudež	s	0,00183	0,00029	0,00149	0,0008	0,00110	
pričati	g	0,00099	0,00039	0,00198	0,00105	0,00110	
navsezadnje	r	0,00055	0,00058	0,00168	0,0016	0,00110	
govorica	s	0,00099	0,00029	0,00201	0,00111	0,00110	
izvirati	g	0,0008	0,00029	0,0022	0,00111	0,00110	
zapraviti	g	0,00135	0,00077	0,00093	0,00135	0,00110	
raj	s	0,00072	0,00048	0,00123	0,00197	0,00110	
glasbenik	s	0,00069	0,00106	0,00197	0,00068	0,00110	
strup	s	0,00089	0,00019	0,00092	0,0024	0,00110	
tretjina	s	0,00098	0,00116	0,00207	0,00018	0,00110	
razdeljen	p	0,0005	0,00077	0,00152	0,0016	0,00110	
dojenček	s	0,0013	0,00068	0,00142	0,00098	0,00110	
odločanje	s	0,00085	0,00029	0,00182	0,00142	0,00110	
petje	s	0,00064	0,00039	0,0015	0,00185	0,00110	
upravljati	g	0,001	0,00077	0,00138	0,00123	0,00110	
maček	s	0,00225	0,00077	0,00093	0,00043	0,00110	
očala	s	0,00157	0,00087	0,0015	0,00043	0,00109	
igrača	s	0,00097	0,00029	0,00119	0,00191	0,00109	
plavati	g	0,00115	0,00106	0,00135	0,0008	0,00109	
popiti	g	0,00085	0,00058	0,0012	0,00172	0,00109	
smučarski	p	0,00093	0,00058	0,0013	0,00154	0,00109	
nasmejati	g	0,00198	0,00058	0,00074	0,00105	0,00109	
baza	s	0,00162	0,00106	0,00148	0,00018	0,00109	
demokratičen	p	0,00218	0,00019	0,00129	0,00068	0,00109	
pevec	s	0,00065	0,00048	0,0021	0,00111	0,00109	
igrica	s	0,00113	0,00077	0,00096	0,00148	0,00109	
zavzeti	g	0,00094	0,00039	0,00165	0,00135	0,00108	
tvegati	g	0,00074	0,00039	0,00123	0,00197	0,00108	
zmeden	p	0,00114	0,00029	0,00105	0,00185	0,00108	
izpolnjevati	g	0,00083	0,00048	0,00227	0,00074	0,00108	
obvezno	r	0,00162	0,00145	0,00107	0,00018	0,00108	
izmisliti	g	0,00131	0,00106	0,00114	0,0008	0,00108	
gost	p	0,00105	0,00077	0,00187	0,00062	0,00108	
včerajšnji	p	0,00254	0,00077	0,00087	0,00012	0,00108	
založba	s	0,00049	0,00039	0,00268	0,00074	0,00108	
spomenik	s	0,00148	0,0001	0,0018	0,00092	0,00108	
zastaviti	g	0,001	0,00087	0,0015	0,00092	0,00107	
kocka	s	0,00125	0,00077	0,0014	0,00086	0,00107	
izpeljati	g	0,00091	0,00097	0,00166	0,00074	0,00107	
zasesti	g	0,00088	0,00058	0,00153	0,00129	0,00107	
različno	r	0,00053	0,00116	0,00135	0,00123	0,00107	
kranjski	p	0,00114	0,00087	0,00164	0,00062	0,00107	
podrejen	p	0,0005	0,00019	0,00093	0,00265	0,00107	
princip	s	0,00166	0,00136	0,001	0,00025	0,00107	
skrbno	r	0,0005	0,00029	0,00262	0,00086	0,00107	
zdraviti	g	0,00143	0,00068	0,00154	0,00062	0,00107	
sestavina	s	0,00071	0,00029	0,00289	0,00037	0,00107	
pretepati	g	0,00034	0,00039	0,00039	0,00314	0,00107	
zapirati	g	0,00135	0,00087	0,00105	0,00098	0,00106	
pogreb	s	0,00089	0,00039	0,00088	0,00209	0,00106	
boleč	p	0,00126	0,00039	0,00168	0,00092	0,00106	
sejem	s	0,00112	0,00058	0,002	0,00055	0,00106	
institucija	s	0,00143	0,00029	0,00227	0,00025	0,00106	
kajne	l	0,00203	0,00087	0,00109	0,00025	0,00106	
risati	g	0,00075	0,00145	0,00099	0,00105	0,00106	
priteči	g	0,00036	0,00029	0,00082	0,00277	0,00106	
zaslužek	s	0,00105	0,00039	0,00132	0,00148	0,00106	
cvet	s	0,00084	0,00068	0,00229	0,00043	0,00106	
bar	s	0,00173	0,00068	0,00121	0,00062	0,00106	
hodnik	s	0,00054	0,00097	0,00174	0,00098	0,00106	
prisotnost	s	0,00096	0,00058	0,00177	0,00092	0,00106	
dosedanji	p	0,0009	0,00058	0,00244	0,00031	0,00106	
razočaranje	s	0,00087	0,00029	0,00116	0,00191	0,00106	
zamenjava	s	0,00129	0,00077	0,00179	0,00037	0,00106	
nepomemben	p	0,00129	0,00029	0,00104	0,0016	0,00106	
moda	s	0,00142	0,00029	0,00189	0,00062	0,00106	
tehnik	s	0,00047	0,00048	0,00111	0,00215	0,00105	
hiteti	g	0,00085	0,00058	0,00124	0,00154	0,00105	
navzgor	r	0,00087	0,00087	0,0021	0,00037	0,00105	
navdušiti	g	0,00108	0,00029	0,00166	0,00117	0,00105	
princ	s	0,00096	0,00048	0,00141	0,00135	0,00105	
želodec	s	0,00144	0,00068	0,00165	0,00043	0,00105	
motnja	s	0,00119	0,00058	0,00206	0,00037	0,00105	
sproščen	p	0,0008	0,00077	0,00152	0,00111	0,00105	
zanesljiv	p	0,00135	0,00029	0,00182	0,00074	0,00105	
simpatičen	p	0,00159	0,00116	0,00113	0,00031	0,00105	
lisica	s	0,00076	0,00039	0,0007	0,00234	0,00105	
dočakati	g	0,00164	0,00029	0,00109	0,00117	0,00105	
zemljevid	s	0,00097	0,00097	0,00157	0,00068	0,00105	
našteti	g	0,00128	0,00136	0,0013	0,00025	0,00105	
upokojenec	s	0,00186	0,00077	0,00138	0,00018	0,00105	
šok	s	0,00138	0,00048	0,00098	0,00135	0,00105	
ubijati	g	0,00159	0,00029	0,0007	0,0016	0,00105	
nadzorovati	g	0,00055	0,00029	0,00168	0,00166	0,00105	
potrjevati	g	0,00155	0,00019	0,00189	0,00055	0,00105	
razpoloženje	s	0,00054	0,00048	0,00181	0,00135	0,00105	
portal	s	0,00255	0,00019	0,00107	0,00037	0,00105	
predviden	p	0,00084	0,00048	0,00261	0,00025	0,00105	
odkrivati	g	0,0008	0,00048	0,00155	0,00135	0,00105	
obesiti	g	0,00109	0,00068	0,00123	0,00117	0,00104	
pisen	p	0,00048	0,00058	0,00206	0,00105	0,00104	
novinarski	p	0,00161	0,00029	0,00159	0,00068	0,00104	
zaigrati	g	0,00063	0,00068	0,00132	0,00154	0,00104	
sestava	s	0,00084	0,00058	0,00232	0,00043	0,00104	
zanesti	g	0,00081	0,00068	0,00126	0,00142	0,00104	
vsepovsod	r	0,00093	0,00174	0,00088	0,00062	0,00104	
nedeljski	p	0,0021	0,00019	0,0017	0,00018	0,00104	
vzhoden	p	0,00091	0,00048	0,00241	0,00037	0,00104	
varno	r	0,00081	0,00097	0,00153	0,00086	0,00104	
odreči	g	0,00084	0,00048	0,00142	0,00142	0,00104	
lice	s	0,00073	0,00019	0,00139	0,00185	0,00104	
kritizirati	g	0,00148	0,00039	0,00081	0,00148	0,00104	
oddajati	g	0,00125	0,00116	0,00138	0,00037	0,00104	
udeležba	s	0,00141	0,00039	0,00174	0,00062	0,00104	
skala	s	0,00066	0,00039	0,00151	0,0016	0,00104	
izločiti	g	0,00095	0,00068	0,00135	0,00117	0,00104	
dlan	s	0,00091	0,00029	0,0024	0,00055	0,00104	
letno	r	0,00147	0,00077	0,00166	0,00025	0,00104	
pripomoček	s	0,00074	0,00039	0,00221	0,0008	0,00104	
zadrževati	g	0,00061	0,00039	0,00172	0,00142	0,00104	
študija	s	0,00123	0,00029	0,00225	0,00037	0,00104	
prijazno	r	0,00075	0,00039	0,00145	0,00154	0,00103	
gledanje	s	0,00124	0,00039	0,00096	0,00154	0,00103	
podeliti	g	0,00119	0,00048	0,00203	0,00043	0,00103	
obnoviti	g	0,00085	0,00068	0,00162	0,00098	0,00103	
usmeriti	g	0,00071	0,00068	0,00176	0,00098	0,00103	
ovirati	g	0,00097	0,00048	0,00132	0,00135	0,00103	
počasen	p	0,00147	0,00048	0,00167	0,00049	0,00103	
gospodinjstvo	s	0,00049	0,00048	0,00117	0,00197	0,00103	
naokoli	r	0,0014	0,00048	0,001	0,00123	0,00103	
dnevno	r	0,00169	0,00068	0,00131	0,00043	0,00103	
medved	s	0,001	0,00048	0,00097	0,00166	0,00103	
obarvan	p	0,0006	0,00029	0,00131	0,00191	0,00103	
noro	r	0,002	0,00106	0,00061	0,00043	0,00103	
odveč	r	0,00158	0,00058	0,00126	0,00068	0,00103	
zunaj	d	0,0008	0,00039	0,00223	0,00068	0,00103	
povečevati	g	0,00085	0,00068	0,00208	0,00049	0,00103	
radijski	p	0,00097	0,00058	0,00223	0,00031	0,00102	
obstati	g	0,00094	0,00048	0,00144	0,00123	0,00102	
neprestano	r	0,00051	0,00019	0,00099	0,0024	0,00102	
dilema	s	0,00191	0,00068	0,00095	0,00055	0,00102	
kazniv	p	0,00124	0,00077	0,00165	0,00043	0,00102	
pripomba	s	0,00132	0,00048	0,00198	0,00031	0,00102	
odpravljati	g	0,00092	0,00019	0,00138	0,0016	0,00102	
zadosti	r	0,00095	0,00203	0,00062	0,00049	0,00102	
lev	s	0,00171	0,00048	0,0014	0,00049	0,00102	
upravičen	p	0,00108	0,00039	0,00181	0,0008	0,00102	
naraščati	g	0,00073	0,00077	0,00129	0,00129	0,00102	
trgovec	s	0,00112	0,00048	0,0018	0,00068	0,00102	
označen	p	0,00082	0,00068	0,00184	0,00074	0,00102	
nakazati	g	0,0011	0,00068	0,001	0,00129	0,00102	
vrag	s	0,00169	0,00126	0,00094	0,00018	0,00102	
priloga	s	0,00066	0,00039	0,00173	0,00129	0,00102	
raziskovanje	s	0,00063	0,00029	0,00229	0,00086	0,00102	
preostal	p	0,00073	0,00039	0,00264	0,00031	0,00102	
bomba	s	0,00198	0,00058	0,00126	0,00025	0,00102	
vek	s	0,00072	0,00116	0,00107	0,00111	0,00102	
obsojati	g	0,00126	0,00029	0,0006	0,00191	0,00102	
nosilec	s	0,0012	0,00048	0,0022	0,00018	0,00102	
domačin	s	0,00097	0,00048	0,00205	0,00055	0,00101	
stanovanjski	p	0,00055	0,00068	0,00239	0,00043	0,00101	
zagotovljen	p	0,00103	0,00058	0,00164	0,0008	0,00101	
čoln	s	0,0006	0,00048	0,00137	0,0016	0,00101	
tanek	p	0,00107	0,00048	0,00207	0,00043	0,00101	
mil	p	0,00107	0,00068	0,00113	0,00117	0,00101	
prodajalec	s	0,00153	0,00058	0,00151	0,00043	0,00101	
režim	s	0,00183	0,00029	0,00143	0,00049	0,00101	
vreča	s	0,00093	0,00106	0,00124	0,0008	0,00101	
enakovreden	p	0,00053	0,00029	0,00087	0,00234	0,00101	
problematika	s	0,00078	0,00029	0,00161	0,00135	0,00101	
delodajalec	s	0,00133	0,00048	0,00197	0,00025	0,00101	
pobirati	g	0,0015	0,00077	0,00108	0,00068	0,00101	
razbiti	g	0,00144	0,00068	0,0011	0,0008	0,00101	
natanko	r	0,00085	0,00068	0,00163	0,00086	0,00101	
spopad	s	0,00082	0,00019	0,00147	0,00154	0,00101	
globina	s	0,00083	0,00058	0,00199	0,00062	0,00101	
čimprej	r	0,00199	0,00029	0,00076	0,00098	0,00101	
talent	s	0,00159	0,00058	0,0013	0,00055	0,00101	
dragocen	p	0,00061	0,00039	0,0024	0,00062	0,00101	
peč	s	0,00088	0,00136	0,00123	0,00055	0,00101	
juha	s	0,001	0,00087	0,00171	0,00043	0,00100	
prednik	s	0,0007	0,00019	0,00115	0,00197	0,00100	
modrost	s	0,00134	0,00039	0,00117	0,00111	0,00100	
civilen	p	0,00142	0,00058	0,00183	0,00018	0,00100	
tožba	s	0,00141	0,00058	0,00165	0,00037	0,00100	
pametno	r	0,00128	0,00106	0,00086	0,0008	0,00100	
priznavati	g	0,00118	0,00039	0,00169	0,00074	0,00100	
pravočasno	r	0,00089	0,00039	0,00186	0,00086	0,00100	
ogrožati	g	0,00115	0,00068	0,00143	0,00074	0,00100	
